%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__Hmax_shallow log__fdd_threshold snow_insulation_k baseflow_Q     log__routing_K neg_kge        
55       I1         0.9177023502   1.522818988    2.518656767    0.1586357021   0.6635464248   4.60317251     2.859344672    2.916857372    0.117131259    0.1000731361   0.06812560727  0.3540954178   
56       I1         0.6501714999   1.563813263    2.50197392     0.1205591682   0.3850713039   8.62880349     3.359789056    2.297328917    0.01794380659  0.1848593659   0.6229220791   0.231088289    
57       I1         1.474533859    1.359935892    4.077979364    0.04631572826  0.320086903    6.124559585    1.519098458    0.3034123706   0.06200268785  0.1880472491   0.2680878872   0.352940227    
58       I1         1.589566797    2.512240563    3.506186554    0.1156888522   0.4692989556   4.934930773    1.056579247    1.26336092     0.03696598682  0.181800888    0.000652402062 0.7211543695   
59       I1         1.784835303    1.926213285    4.314317134    0.2294786622   0.6961344583   5.162715657    3.440100491    0.005059092713 0.1396627313   0.06971472422  0.9627746968   0.4713237859   
60       I1         1.186805977    1.806078942    4.48415467     0.1397966434   0.5895334026   1.502057478    3.341203918    0.3783589419   0.04571215938  0.08686079609  -0.9224039916  0.4313947511   
61       I1         0.7074897604   1.732391951    3.847275111    0.6853682706   0.813832477    2.631645173    2.903199835    2.408131917    0.135434099    0.2743319174   0.5504649764   0.1956184858   
62       I1         1.69721588     1.487467654    3.391570594    0.09506460568  0.5857182627   8.24717916     1.833273034    0.5141898021   0.04367763218  0.2299540552   -0.125715429   0.3493701935   
63       I1         1.382954783    1.576814556    3.574528517    0.5353698492   0.6515158266   2.653942694    1.607700684    2.733793839    0.04168912005  0.2964673911   -0.5329991241  0.5716207927   
64       I1         0.6741398318   1.511267464    3.287586518    0.2689075142   0.5517586627   1.447753494    2.768950355    0.01217128017  0.09013046365  0.206265595    0.1742772274   0.2301772923   
65       I1         1.107474017    1.266991593    3.326822502    0.6350235686   0.5109124987   8.050056009    2.917057999    2.770988668    0.0463524289   0.1461064515   -0.4110149021  0.3328611841   
